family_or_target,grid,scope,metric,reported_value,display_precision,note
Norway,5x5,k=4 family median,same_budget_percentile_pct,99.652,3 decimals,locked full-precision headline; not median of display-rounded target ranks
Norway,5x5,k=4 family median,transferred_loss_pct,1.402,3 decimals,
Norway,5x5,k=4 family worst,transferred_loss_pct,4.218,3 decimals,
Norway,5x5,k=4 family median,local_floor_pct,0.614,3 decimals,
Norway,5x5,k=4 family median,selection_excess_pp,0.818,3 decimals,median of target-wise differences
Boulder >=30d,5x5,k=4 family median,same_budget_percentile_pct,95.597,3 decimals,locked full-precision headline
Boulder >=30d,5x5,k=4 family median,transferred_loss_pct,17.715,3 decimals,
Boulder >=30d,5x5,k=4 family worst,transferred_loss_pct,43.994,3 decimals,
Boulder >=30d,5x5,k=4 family median,local_floor_pct,5.794,3 decimals,
Boulder >=30d,5x5,k=4 family median,selection_excess_pp,11.352,3 decimals,median of target-wise differences
BOULDER PARK S1,5x5,k=4 target,same_budget_percentile_pct,99.66,2 decimals,
BOULDER PARK S1,5x5,k=4 target,transferred_loss_pct,16.809,3 decimals,
BOULDER PARK S1,5x5,k=4 target,local_floor_pct,7.387,3 decimals,
BOULDER PARK S1,5x5,k=4 target,selection_excess_pp,9.422,3 decimals approx,difference of displayed rounded values
Norway,3x3,k=4 family median,transferred_loss_pct,0.19,3 decimals,
Norway,3x3,k=4 family median,local_floor_pct,0.072,3 decimals,
Norway,3x3,k=4 family median,selection_excess_pp,0.113,3 decimals,
Boulder >=30d,3x3,k=4 family median,transferred_loss_pct,3.233,3 decimals,
Boulder >=30d,3x3,k=4 family median,local_floor_pct,0.898,3 decimals,
Boulder >=30d,3x3,k=4 family median,selection_excess_pp,2.294,3 decimals,
Dingle id01,5x5,k=4 target,same_budget_percentile_pct,96.174,3 decimals,
Dingle id01,5x5,k=4 target,transferred_loss_pct,9.457,3 decimals,
Dingle id01,5x5,k=4 target,local_floor_pct,0.0,3 decimals,
Dingle id01,5x5,k=4 target,selection_excess_pp,9.457,3 decimals,
Dingle id02,5x5,k=4 target,same_budget_percentile_pct,47.312,3 decimals,
Dingle id02,5x5,k=4 target,transferred_loss_pct,100.0,3 decimals,
Dingle id02,5x5,k=4 target,local_floor_pct,1.859,3 decimals,
Dingle id02,5x5,k=4 target,selection_excess_pp,98.141,3 decimals,
Dingle id03,5x5,k=4 target,same_budget_percentile_pct,47.312,3 decimals,
Dingle id03,5x5,k=4 target,transferred_loss_pct,100.0,3 decimals,
Dingle id03,5x5,k=4 target,local_floor_pct,2.842,3 decimals,
Dingle id03,5x5,k=4 target,selection_excess_pp,97.158,3 decimals,
Dingle id04,5x5,k=4 target,same_budget_percentile_pct,96.174,3 decimals,
Dingle id04,5x5,k=4 target,transferred_loss_pct,44.324,3 decimals,
Dingle id04,5x5,k=4 target,local_floor_pct,3.55,3 decimals,
Dingle id04,5x5,k=4 target,selection_excess_pp,40.773,3 decimals,
SlimPark all9 native,3x3,k=4 target,same_budget_percentile_pct,95.238,3 decimals,
SlimPark all9 native,3x3,k=4 target,transferred_loss_pct,6.816,3 decimals,
SlimPark all9 native,3x3,k=4 target,local_floor_pct,2.345,3 decimals,
SlimPark all9 native,3x3,k=4 target,selection_excess_pp,4.471,3 decimals,
SlimPark all9 native,5x5,k=4 target,same_budget_percentile_pct,97.004,3 decimals,
SlimPark all9 native,5x5,k=4 target,transferred_loss_pct,62.823,3 decimals,
SlimPark all9 native,5x5,k=4 target,local_floor_pct,14.515,3 decimals,
SlimPark all9 native,5x5,k=4 target,selection_excess_pp,48.308,3 decimals,
