household,role,file,bytes,sha256
id01,RawData,RawData/id01_merged_30min.csv,3791968,982c30063c40feafd99fc66c0ce34c3a71188a4e4cfb6b60eb19d0bdc092ae1b
id01,EnergyStreams,EnergyStreams/id01_merged_30min.csv,3791968,982c30063c40feafd99fc66c0ce34c3a71188a4e4cfb6b60eb19d0bdc092ae1b
id01,JourneyCharge,JourneyCharge/id01_Sorted_Mobility.csv,185144,ea83a321fa4d76de306dfc3da636fa83ecafb355a611979208666da2290f7395
id02,RawData,RawData/id02_merged_30min.csv,3654382,349486f93586d13b1d412542f50e19d3b262e1c5a40d1c68e73849da2cb77e3d
id02,EnergyStreams,EnergyStreams/id02_merged_30min.csv,3654382,349486f93586d13b1d412542f50e19d3b262e1c5a40d1c68e73849da2cb77e3d
id02,JourneyCharge,JourneyCharge/id02_Sorted_Mobility.csv,284657,da5028bcd66a2babb3044a0846c8b426448ada93e7cb1ec3b796f9784638ebee
id03,RawData,RawData/id03_merged_30min.csv,3463023,d46d0d4a1d91a7042d693f5db1616d1541ce5a0566a7448eb423ca597cd80527
id03,EnergyStreams,EnergyStreams/id03_merged_30min.csv,3463023,d46d0d4a1d91a7042d693f5db1616d1541ce5a0566a7448eb423ca597cd80527
id03,JourneyCharge,JourneyCharge/id03_Sorted_Mobility.csv,464944,26cd189687be2bb2df894a044da61c8bd3197e7c70e27029c65e78b72b605440
id04,RawData,RawData/id04_merged_30min.csv,3666693,3cca7564b081300724046f3373a135b151a6f1b6c06dfc20aa63f593755abaf5
id04,EnergyStreams,EnergyStreams/id04_merged_30min.csv,3666693,3cca7564b081300724046f3373a135b151a6f1b6c06dfc20aa63f593755abaf5
id04,JourneyCharge,JourneyCharge/id04_Sorted_Mobility.csv,473199,36bb0e5faeec487b94bbc62305afa494ffe1918c5da9f0be46a67535b3272902
