household,article_aligned,pv_mode,raw_charging_events,generic_valid_events,article_aligned_events,nonpositive_or_missing_energy,energy_gt_64_kwh,active_power_gt_7p4_kw,max_energy_kwh,max_active_avg_kw,max_reconstruction_residual_kwh,pv_rows,pv_missing_raw,pv_negative_raw,pv_above_1p05_kwh_raw,pv_min_raw_kwh,pv_max_raw_kwh,pv_missing_after_article_alignment,active_days,cal_days,hold_days,admitted_energy_kwh,event_mode,pv_scale
id01,True,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,150,105,45,2804.517,event_window,1
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1
id04,True,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1
id01,True,energy_matched,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,150,105,45,2804.517,event_window,3.4561503614
id02,True,energy_matched,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,8.98699446808
id03,True,energy_matched,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,6.78398558912
id04,True,energy_matched,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,4.19904860331
id01,True,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,138,96,42,2804.517,active_time_frontloaded,1
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,251,175,76,7968.785,active_time_frontloaded,1
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,127,88,39,2567.928,active_time_frontloaded,1
id04,True,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,241,168,73,5691.801,active_time_frontloaded,1
