subset,pv_scale_mode,pv_scale,complete_active_days,cal_days,hold_days,first_admitted_day,last_admitted_day,cal_ev_kwh,cal_pv_kwh_native,hold_ev_kwh,hold_pv_kwh_native,grid,axis,quantile,value,unit
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,E,0.5,16.564,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,E,0.75,46.37,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,E,0.9,84.519,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,P,0.5,6.821,kW
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,P,0.75,12.643,kW
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,3x3,P,0.9,15.945,kW
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.25,1.697,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.5,16.564,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.75,46.37,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.9,84.519,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,E,0.95,108.735,kWh
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.25,1.215,kW
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.5,6.821,kW
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.75,12.643,kW
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.9,15.945,kW
all9,native,1,514,359,155,2022-05-24,2023-11-21,50068.5122318,21284.891062,15289.1330601,9144.50178,5x5,P,0.95,18.279,kW
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,3x3,E,0.5,23.643,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,3x3,E,0.75,56.692,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,3x3,E,0.9,90.098,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,3x3,P,0.5,7.938,kW
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,3x3,P,0.75,13.329,kW
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,3x3,P,0.9,16.487,kW
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,5x5,E,0.25,3.907,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,5x5,E,0.5,23.643,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,5x5,E,0.75,56.692,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,5x5,E,0.9,90.098,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,5x5,E,0.95,114.007,kWh
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,5x5,P,0.25,2.099,kW
first4,native,1,514,359,155,2022-05-24,2023-11-21,22654.9546496,21284.891062,8804.77268803,9144.50178,5x5,P,0.5,7.938,kW
